count	category	hrnk_prdlst_nm
10555	스낵·과자	과자류, 빵류 또는 떡류
4515	음료·주류	다류
3085	가공·즉석식품	수산가공식품류
2498	양념·소스	장류
2314	가공·즉석식품	기타식품류
2205	음료·주류	음료류
2148	양념·소스	소스류
2052	곡류·면류	면류
1998	가공·즉석식품	즉석섭취.편의식품류
1943	가공·즉석식품	기타 농산가공품류
1906	가공·즉석식품	절임류
1704	스낵·과자	초콜릿류
1505	음료·주류	기타음료
1457	음료·주류	과일.채소류음료
1231	가공·즉석식품	김치류
1182	가공·즉석식품	젓갈류
947	가공·즉석식품	어육가공품류
880	가공·즉석식품	만두류
775	가공·즉석식품	건포류
752	양념·소스	고춧가루 또는 실고추
692	양념·소스	식물성유지류
601	양념·소스	향신료가공품
551	두부·콩류	두부류 또는 묵류
519	가공·즉석식품	절임류 또는 조림류
443	양념·소스	식염
431	음료·주류	탄산음료류
407	DROP	혼합제제류
385	스낵·과자	땅콩 또는 견과류가공품류
369	DROP	특수영양식품
351	음료·주류	두유류
261	스낵·과자	엿류
238	가공·즉석식품	식육가공품 및 포장육
223	가공·즉석식품	농산가공식품류
219	양념·소스	잼류
214	스낵·과자	빙과류
196	가공·즉석식품	전분류
151	양념·소스	식초류
147	양념·소스	식용유지가공품
129	곡류·면류	밀가루류
126	양념·소스	조미식품
107	스낵·과자	당류
102	DROP	
94	음료·주류	발효음료류
90	스낵·과자	코코아가공품류
83	가공·즉석식품	동물성가공식품류
66	DROP	얼음류
57	음료·주류	인삼.홍삼제품류
53	양념·소스	카레(커리)
51	DROP	식품첨가물
50	스낵·과자	설탕류
23	스낵·과자	올리고당류
21	DROP	벌꿀류
21	곡류·면류	생식류
19	유제품·계란	알가공품류
17	DROP	기구등의 살균·소독제
10	DROP	첨가물
8	DROP	맞춤형 영양조제식품
5	DROP	건강기능식품
4	DROP	특수의료용도등식품
3	스낵·과자	과당류
2	DROP	기타첨가물
2	DROP	팽창제제
2	DROP	면류첨가알칼리제
1	유제품·계란	유가공품류
